Dataset - Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
creditcard - Logistic Regression,0.9991397773954567,0.8266666666666667,0.6326530612244898,0.7167630057803468,0.8162122227900727
creditcard - Decision Tree,0.9991397773954567,0.7525773195876289,0.7448979591836735,0.7487179487179487,0.8722379497662881
creditcard - Random Forest,0.9995962220427653,0.9411764705882353,0.8163265306122449,0.8743169398907104,0.9081193007591333
creditcard - Gradient Boosting,0.9983146659176293,0.5294117647058824,0.1836734693877551,0.2727272727272727,0.5916960481435117
creditcard - MLP,0.9995611109160493,0.9101123595505618,0.826530612244898,0.8663101604278075,0.913194962847266
Fraud_Data - Logistic Regression,0.9063627039010026,0.0,0.0,0.0,0.5
Fraud_Data - Decision Tree,0.9075207623333224,0.5056360708534622,0.5547703180212014,0.5290648694187026,0.7493670521949908
Fraud_Data - Random Forest,0.9545379346855044,0.9764397905759162,0.5272084805653711,0.6847177604405691,0.7629471381032966
Fraud_Data - Gradient Boosting,0.9543063229990405,0.971986970684039,0.5272084805653711,0.6836197021764032,0.7628193682350821
Fraud_Data - MLP,0.9526188664262317,0.972936400541272,0.5081272084805654,0.6675951717734447,0.7533334907076282
